vendor,legal_name,entities,category,federal_tax_classification,tax_address_on_file,contacts,active,spend_all_time,spend_365d,ramp_vendor_uuids
Nothing Bundt Cakes,,FL|TN|TX,Restaurants,,,0,yes,5817.61,5817.61,4916ac09-b6a4-4d31-a9da-a59491402a47|0117a961-ac4a-4722-a59c-f93a1b26a6ed|217a0b48-93bd-4a29-8e43-0653a3b4ce45
Anthropic,,FL|TN,SaaS / Software,,,0,yes,5780.87,5780.87,d3a71db2-8083-4bcb-99e2-f52fc437d625|634d8dcd-2e46-4ce9-889a-7c3c876df244
Extra Space Storage,,FL,"Freight, Moving and Delivery Services",,,0,yes,5759.05,5759.05,e2342fca-a755-49ce-8f5d-40fcd59d33fc
Uber Eats,,FL|TN,Restaurants,,,0,yes,5747.72,5747.72,f063dcd2-0f53-4969-8b0a-ad5d7609a78a|29a90d7c-4324-4758-b456-381d8bd2feab
Lexium Attorneys and Advisors,,FL,Legal,,,2,yes,5656.22,5656.22,f4e72126-4fd5-4f42-b7f3-0f27a0b14443
Center for Dermatology NP PA,,FL,Professional Services,,,0,yes,5555.00,5555.00,1dd6e7d6-d66a-4706-8475-59832b6e6259
Circle K,,FL|TN|TX,Fuel and Gas,,,0,yes,5391.01,5391.01,c4336402-d23e-48d4-ba22-f684c328692c|32ad0478-0e41-4b1b-9c5b-52e9553ec728|2b6a0f1b-ac1a-4aea-b237-2a1387440e21
SpecializedRx,,FL|TN|TX,General Merchandise,,,1,yes,5275.10,5275.10,f4cdf094-1533-4267-8808-e775f62593c6|260d2b5d-e677-4a43-9c95-0059984306ad|0f6160ed-210e-498f-95ad-7e3e984d4483
Connecticut Dermatology NP & PA,,FL,Medical,,,0,yes,5200.00,5200.00,511a7c69-9c8c-45ff-87e3-93c46d628ff5
Paypal Giving Fund,,FL,Charitable donations,,,0,yes,5200.00,5200.00,6bcc1c79-fd97-4a4b-9c61-6b941833c467
Parmed Pharmaceuticals - Autopay,,FL,Medical,,,1,yes,5016.15,5016.15,e9e67fbd-e25f-421e-8595-c8e59a3bdf75
Amz Hyper,,FL|TN,Electronics,,,0,yes,5004.40,5004.40,c4a674fe-5763-4c76-b8ea-224ddc2c061a|4386fd4f-5f33-4bf5-8c8d-74bc9c69d3cc
Courtyard by Marriott,,FL|TN,Lodging,,,0,yes,4779.08,4779.08,714b5d98-c7ce-40ac-8c13-7840f53f9de7|73e62757-e239-44c9-ad0b-6ef484f87362
QuikTrip,,FL|TN|TX,Fuel and Gas,,,0,yes,4741.75,4741.75,ec33c3aa-bfd9-4225-8cba-1f26fa25738f|8ec4064d-b964-41c7-a1a7-0011dad6d5ee|282042d6-2ed3-466d-bf13-9f36d67808b1
Integra CE Services,,TN,Other,,YES,1,yes,4682.63,4682.63,365b6f97-d22f-4058-a129-7e1f44700119
Dinorah Margarita Andujar,Dinorah Margarita Andujar,TN,Office supplies and cleaning,INDIVIDUAL_SOLE_PROPRIETOR_SINGLE_MEMBER_LLC,YES,1,yes,4550.00,4550.00,e7990acd-f7bb-4a38-8148-b99a63cebe25
Allegiant,,FL|TN,Airlines,,,0,yes,4538.58,4538.58,3990a069-c354-4741-800c-853527150c9b|e0c2254e-24e3-4e3c-b960-f7ae90391c01
ELEC POWER BOARD,,TN,Utilities,,,1,yes,4456.45,4456.45,37f37223-efde-42b1-9dec-b290aa5dc745
A Creative Means Design,Miranda Jo Young,FL|TN,Advertising,INDIVIDUAL_SOLE_PROPRIETOR_SINGLE_MEMBER_LLC,YES,1,yes,4387.50,4387.50,6282a33f-7618-4b4f-80ca-33b6ff964c47|aae48554-52c7-4191-973d-49d1a1722502
