merchant,ramp_category,coded_lines,top_gl,top_acct,agreement_pct,manual_top_gl,manual_lines
Walgreens,Supermarkets and Grocery Stores,6,Sales & Marketing - Other,6800.30,50,Sales & Marketing - Other,3
Home 2 Suites by Hilton,Lodging,6,Hotels,6830.20,67,Airfare/Transportation,1
Choice Hotels,Lodging,6,Hotels,6830.20,100,(none manual),0
Outback Steakhouse,Restaurants,6,Client Presentation,6800.10,67,Meals,1
Coffee Concrete,Restaurants,5,Meals,6800.20,100,Meals,1
eFax,Books and Newspapers,5,Office Expense,6200.80,60,Phone Expense,1
Dfw Airport Parking,Parking,5,Parking/Tolls,6200.13,100,Parking/Tolls,1
La Quinta Inn & Suites,Lodging,5,Hotels,6830.20,80,Meals,1
Fairmont Hotels,Travel Misc,5,Parking/Tolls,6200.13,60,Parking/Tolls,3
Holiday Inn,Lodging,5,Hotels,6830.20,100,Hotels,1
Amz Hyper,Electronics,5,Suspense,8220,60,Computer Supplies & Equipment,1
CVS Pharmacy,Supermarkets and Grocery Stores,5,Sales & Marketing - Other,6800.30,40,Sales & Marketing - Other,2
Trader Joe's,Supermarkets and Grocery Stores,5,Meals,6800.20,60,Meals,3
Vevor,General Merchandise,5,Shipping Packaging Material Inventory,1220.30,60,Shipping Packaging Material Inventory,3
Group Parking,Parking,5,Parking/Tolls,6200.13,100,Parking/Tolls,5
The Sourdough Co.,Restaurants,5,Meals,6800.20,100,Meals,5
Bottlemate Inc.,General Merchandise,5,Compound Packaging Inventory,1220.15,60,Suspense,1
The Home Depot,General Merchandise,5,Non-Capital Lab Equipment,6200.75,60,Non-Capital Lab Equipment,3
RaceWay,Fuel and Gas,5,Gas,6200.12,100,Gas,1
Booking.com,Lodging,5,Hotels,6830.20,100,Hotels,5
Hudson's Place,Restaurants,5,Client Presentation,6800.10,80,Meals,1
South Coast Deli,Restaurants,5,Client Presentation,6800.10,100,(none manual),0
Casey's,Fuel and Gas,5,Gas,6200.12,100,(none manual),0
Doubletree By Hilton,Lodging,5,Hotels,6830.20,80,Meals,1
Autodesk,SaaS / Software,5,Research & Development Costs,5000.50,100,Research & Development Costs,5
